,mean_IG,mean_DL,mean_GS,mean_GB,mean_IXG,feature_names,borda_rank
1326,0.0001371568893859,2.1861435242292e-07,3.411495328991419e-06,0.0015058922804947,-2.7681152918678317e-06,TFs_and_others_PHIP,2627.0
1328,-0.0002617892954951,1.2823632076519644e-07,2.1929636497823035e-05,0.0025621387050114,1.2947875290415844e-05,TFs_and_others_PRDM4,2636.0
1814,-0.0003230258514646,3.338800076731951e-08,7.493384251989206e-05,0.0011075239441141,0.0001179613482963,TFs_and_others_ZBTB48,2636.0
636,3.4342007765743925e-06,1.2672494315048129e-08,1.6739358143087178e-05,0.0009976248238522,1.7425581059819316e-06,TFs_and_others_ZNF596,2647.0
708,0.0002296283737778,-1.0904800172836617e-07,5.931852842733653e-06,0.0012507005899934,3.2900911883511714e-05,TFs_and_others_IRF9,2648.0
1157,0.0006599923906214,3.1740248178656e-07,-1.6730394831036793e-05,0.000913613270388,0.0003081301204959,TFs_and_others_KDM5A,2653.0
239,0.0001269485760001,0.0,0.0,0.0015521304690831,8.5393874194438e-06,TFs_and_others_KLF15,2654.0
576,2.3531800909608057e-06,8.97302675856187e-09,9.399261089819895e-06,0.0010852353788506,2.1829340705336668e-06,TFs_and_others_PRRX2,2659.0
1361,0.0040538246856677,-1.7099398104790837e-06,1.9333193879514364e-05,0.0013099583491577,1.916820369696341e-05,TFs_and_others_SS18L1,2662.0
1854,0.0001484474056714,1.4105299482649255e-06,-4.0067068680608016e-05,0.0010553029642446,8.786021821968385e-05,TFs_and_others_GTF2B,2663.0
1860,0.0001092950897203,-2.5502165901763057e-08,1.664026481576568e-06,0.0011159008296041,6.54116405691928e-05,TFs_and_others_EED,2678.0
1640,6.353282116085248e-05,1.9406800682170182e-08,7.565665015003497e-06,0.0008263211361705,9.09103427062675e-06,TFs_and_others_ZNF318,2711.0
324,-1.789514306511522e-05,3.810331998070164e-08,1.823566097737978e-05,0.0011562278826516,2.1863316850768737e-05,TFs_and_others_NR1H2,2719.0
279,0.0002300685694792,-9.9285574649728e-08,1.128063266156759e-05,0.0010388787455316,2.6320996869374905e-05,TFs_and_others_GATAD2A,2732.0
426,0.000156354211052,-3.154102199395509e-06,2.849688911078662e-05,0.0010936835548784,0.0001003190793049,TFs_and_others_IRF1,2736.0
1634,0.0001502761488317,3.8106988786514e-07,2.40450745930038e-05,0.000734604387874,8.242384958816572e-06,TFs_and_others_MEF2D,2739.0
314,0.0002649257044843,1.7826503750225755e-07,9.223209129726733e-06,9.53621296131679e-05,6.309799241424105e-05,TFs_and_others_GFI1,2743.0
687,6.546620069950289e-05,-3.378058475795199e-08,2.688353056930209e-05,0.0010365054922881,1.20028154662209e-05,TFs_and_others_HDGF,2751.0
538,3.123796049976185e-05,-7.965241390980884e-08,8.911401070732986e-06,0.0047525321268819,7.011509091382706e-06,TFs_and_others_RCOR2,2753.0
255,2.871837895692374e-05,2.45404389167939e-09,6.904392836760103e-06,0.0008411173636969,2.088853512684242e-05,TFs_and_others_AHDC1,2753.0
547,0.0002942144810491,-3.7488689354888185e-07,4.442066138048625e-05,0.0009272378798106,6.215952734631138e-05,TFs_and_others_MYH11,2754.0
1466,1.1585435061013376e-05,1.3147541892506996e-09,3.155021170714616e-08,0.0011060485411008,7.480810146924551e-06,TFs_and_others_TBL1Y,2759.0
1478,0.0002997942192933,4.586275576471441e-08,7.85278350173905e-06,0.0006845004299859,5.612330347989429e-05,TFs_and_others_ZNF83,2767.0
1027,0.0001715362812641,-9.091121493115832e-08,1.2877519527270691e-06,0.0016655747400931,1.894742491246917e-05,TFs_and_others_ZNF281,2773.0
134,0.000297891595893,-2.937210076565469e-08,1.3540796063824915e-06,0.0013012779405393,1.1085226946740214e-05,TFs_and_others_ZNF219,2773.0
